Days_since_launch,Total_Stock_Sold_Percentage,Alltime_Perday_View,Alltime_Perday_ATC,Alltime_Perday_Quantity
759,1.00,3.71,0.25,0.02
802,1.00,2.76,1.07,0.17
801,0.95,3.15,1.13,0.19
802,1.00,3.56,0.47,0.09
802,1.00,8.45,1.4,0.21
802,1.00,6.84,1.48,0.22
802,0.00,90,13,0
790,1.00,4.27,0.69,0.1
802,1.07,3.91,1.38,0.4
800,1.00,4.92,0.19,0.01
686,1.00,102.77,1.38,0.38
667,1.00,5.44,0.15,0.02
800,1.00,14.1,0.49,0.04
744,1.00,9.71,0.22,0.03
802,1.02,7.9,0.85,0.12
735,1.00,396,22,1
735,0.00,402,48,0
611,1.00,1042,40,1
611,0.00,1721,110,0
562,1.00,119,39,1
802,1.00,18.06,5.65,1.3
802,1.00,8.36,1.29,0.25
791,1.00,23.5,3.57,0.82
802,1.00,14.89,5.23,1.42
524,1.00,26.16,2.22,0.44
798,1.09,23.22,1.56,0.12
802,1.00,6.55,0.67,0.09
801,1.00,3.68,0.49,0.08
752,1.00,1.71,0.12,0.02
800,0.63,3.73,0.49,0.28
760,1.00,0.78,0.08,0.01
799,1.05,1.79,0.41,0.12
796,1.00,1.91,0.57,0.15
799,1.07,1.74,0.83,0.21
797,0.94,1.38,0.51,0.13
796,1.00,1.09,0.13,0.02
797,0.12,0.91,0.1,0.02
740,1.00,460,49,1
787,1.00,0.76,0.24,0.03
800,1.00,0.49,0.23,0.04
797,0.12,0.76,0.23,0.05
800,1.20,3.56,0.62,0.13
802,1.95,7.37,1.03,0.23
784,1.03,18.63,2.36,0.44
773,1.00,1.66,0.18,0.04
802,0.68,2.02,1.01,0.41
802,1.02,10.03,1.83,0.36
799,0.11,0.14,0.1,0.03
799,2.00,0.19,0.19,0.06
610,1.00,14.62,0.79,0.17
727,1.00,5.66,0.67,0.15
802,1.17,3.68,1.83,0.58
802,1.20,2.52,1.24,0.44
802,1.00,2.24,0.66,0.24
800,1.00,4.58,1.21,0.45
796,0.94,1.06,0.51,0.21
799,0.74,0.69,0.5,0.18
800,0.92,0.21,0.25,0.08
802,0.93,0.25,0.33,0.1
799,1.00,0.29,0.39,0.16
800,0.91,0.26,0.3,0.13
793,1.00,1.71,0.42,0.1
790,1.96,2.22,0.56,0.13
715,1.02,1.76,0.38,0.13
789,1.00,0.69,0.3,0.09
765,1.00,1.15,0.35,0.1
719,1.00,0.68,0.3,0.1
798,1.00,0.6,0.4,0.14
800,1.01,1.19,0.65,0.18
793,1.04,1.18,0.47,0.16
731,1.01,1.99,0.78,0.22
740,1.25,0.98,0.45,0.08
756,1.08,0.76,0.21,0.06
801,1.03,0.77,0.33,0.07
774,1.00,0.58,0.17,0.04
798,1.02,2.87,0.57,0.13
787,1.00,1.48,0.42,0.1
802,0.56,1.81,0.56,0.15
802,0.88,1.19,0.43,0.12
799,1.23,0.35,0.14,0.04
796,1.00,0.32,0.11,0.03
799,0.51,0.87,0.37,0.12
797,0.77,1.15,0.12,0.03
802,1.00,1.69,0.58,0.13
802,1.00,6.31,1.71,0.44
802,1.00,6.41,1.71,0.48
800,1.00,6.37,1.77,0.45
799,1.00,17.35,2.01,0.49
801,1.00,8.35,1.28,0.31
799,1.00,7.76,1.87,0.48
797,1.00,14.46,2.76,0.8
793,1.00,7.35,1.54,0.37
795,1.00,8.13,2.56,0.68
802,1.00,13.63,2.81,0.84
791,1.00,7.47,1.82,0.42
793,1.00,24.87,3.09,0.65
802,1.00,2.19,0.59,0.12
750,1.00,3.71,0.93,0.11
802,1.00,19.41,1.15,0.11
790,1.00,2.55,1.05,0.13
710,1.00,10.92,0.86,0.08
802,1.00,7.1,1.03,0.21
788,0.45,1.31,0.17,0.03
780,1.00,1.33,0.25,0.06
788,0.00,165,5,0
717,1.00,0.48,0.14,0.01
781,1.00,2.19,0.26,0.03
689,1.00,0.29,0.15,0.04
689,1.00,1.39,0.36,0.03
717,1.00,3.72,0.79,0.17
780,1.00,3.21,0.63,0.12
765,1.00,0.34,0.23,0.08
727,1.00,116,4,1
768,0.17,1.24,0.12,0.03
802,1.01,3.54,0.98,0.18
801,0.67,2.5,0.97,0.23
798,0.82,2.32,0.83,0.25
800,1.00,6.67,1.72,0.31
801,1.02,3.77,0.98,0.23
789,0.83,1.95,0.98,0.21
802,1.00,18.6,1.67,0.26
757,1.00,5.79,0.47,0.05
719,1.00,5.89,0.85,0.13
800,1.00,4.06,0.52,0.07
409,1.00,1208,131,1
802,1.00,2.58,0.88,0.14
802,0.00,0,0,0
802,0.00,12,1,0
797,1.00,15.17,2.72,0.26
793,1.00,8.89,0.69,0.1
797,0.00,24,50,0
795,1.00,55.38,4.3,0.28
776,1.00,1.07,0.42,0.1
785,1.00,3.42,0.14,0.03
802,1.00,3.14,0.26,0.07
786,1.00,6.06,0.7,0.09
796,1.00,2.03,0.43,0.1
797,1.00,9.9,0.47,0.02
802,1.00,2.35,1.37,0.2
799,1.00,2.13,0.81,0.18
797,0.00,0,0,0
799,1.00,2.26,0.33,0.07
802,1.01,2.7,1.22,0.31
610,1.00,15,2,1
745,1.00,2,0.3,0.03
802,1.00,1.63,0.37,0.04
802,0.00,842,15,0
801,1.00,5.79,1.85,0.3
748,1.00,2.32,0.38,0.04
802,0.00,1,0,0
802,1.00,2.83,0.42,0.07
802,0.00,26,9,0
802,0.00,8,5,0
802,0.00,493,0,0
802,1.00,1.27,0.61,0.13
789,1.00,1.6,0.56,0.04
788,0.00,0,0,0
801,1.08,4.54,0.68,0.13
785,1.28,10.16,0.78,0.13
800,1.00,3.13,0.76,0.19
799,1.00,0.74,0.44,0.12
802,1.00,2.64,0.58,0.1
800,1.00,1.97,0.86,0.22
802,1.00,3.26,1.16,0.33
799,1.00,1.21,0.41,0.1
799,0.68,1.19,0.55,0.13
802,1.00,3.44,1.07,0.24
802,1.00,2.61,0.39,0.06
802,0.92,0.12,0.13,0.03
802,1.00,6.26,2.55,0.7
801,1.00,11.52,2.96,0.8
799,1.00,4.12,1.6,0.38
802,1.01,4.1,1.44,0.32
801,1.00,5.62,1.89,0.53
788,0.00,7,1,0
788,0.00,28,1,0
